Group Name,Physics Hour,Average Radius,Average Circumference
The Deans,1st,0.13,0.4
The Deans,1st,0.13,0.8
The Deans,1st,0.02,0.15
The Deans,1st,0.18,1.13
The Deans,1st,0.091,0.588
AHIA,1st,0.0886,0.5697
Alexa,1st,0.0977,0.57
Alexa,1st,0.0283,0.135
AHIA,1st,0.0408,0.264
Table 1,1st,17.9,113.3
Table 1,1st,2.2,13.8
AHIA,1st,0.0203,0.1336
Physics Masters,1st,0.0912,0.5583
Table 1,1st,4.2,23.7
Physics Masters,1st,0.1245,0.819
Table 1,1st,8.97,58.2
Physics Masters,1st,0.0305,0.193
AHIA,1st,0.126,0.8163
Physics Masters,1st,0.0406,0.257
Pink group,1st,0.02,0.1423
Red,1st,0.002,0.132
Pink group,1st,0.0406,0.2432
Pink Group ,1st,0.2858,1.882
Pink group,1st,0.0895,0.5846
"maddie, jaiya, noah, ",3rd,4,0.26
Table 7,3rd,0.17,0.57
"maddie, noah, jaiya",3rd,38.5,2.47
Group 7 ,3rd,37.5,1.08
Group 7 ,3rd,0.04,0.19
Group 7,3rd,0.02,0.13
Pink,3rd,0.1175,1.39
P. S. A.,3rd,0.02,0.14
Pink,3rd,0.04,0.28
PSA,3rd,0.0255,0.155
PSA,3rd,0.45,0.58
Steven Hawkins pit crew,3rd,0.0225,13.5
Steven Hawking pit crew,3rd,0.225,0.8
Pink,3rd,0.16,0.97
Pink,3rd,0.09,0.47
Stephen Hawking Pit Crew,3rd,0.1,0.54
KMMJ,3rd,0.0675,0.43875
"maddie, noah, jaiya",3rd,0.13,0.62
Stephen Hawking Pit Crew,3rd,0.317,2.07
"maddie, noah, jaiya",3rd,0.09,0.44
"maddie, noah, jaiya",3rd,0.0045,0.21
"maddie, noah, jaiya",3rd,0.75,2.65
Stephen Hawking Pit Crew ,3rd,0.0225,0.135
Los Amigos,3rd,0.03,0.25
Los amigos,3rd,0.26,1.86
Los Amigos,3rd,0.0175,0.126
Los Amigos,3rd,0.095,0.56
The psychics ,1st,0.564,0.0925
The psychics,1st,0.0815,0.1285
The Psychics ,1st,0.0026,0.0445
The Psychics ,1st,0.129,0.0215
Flamingos,5th,0.045,0.25
Flamingos,5th,0.0975,0.584
The fall send,5th,1.9,13.8
Flamingos,5th,0.021,0.133
The false end,5th,3.9,20.5
Flamingos,5th,0.1325,0.81
Penguins ,5th,0.0225,0.142
The false end,5th,12.45,84.2
Penguins ,5th,0.08,0.27
Penguins ,5th,0.255,0.815
Penguins,5th,0.07,0.235
No Name Group (Caeleb & Dirk),5th,0.17,1.13
No Name Group (Caeleb & Dirk),5th,0.04,0.27
No Name Group (Caeleb & Dirk),5th,0.09,0.56
No Name Group (Caeleb & Dirk),5th,0.02,0.12
The false end,5th,8.9,58.8
Special Scientist,5th,0.18,1.11
The Bombers,5th,0.0946,0.531
Special scientist,5th,0.02,0.145
The Bombers,5th,0.01725,0.1391
Special scientist ,5th,0.125,0.79
The Bomber,5th,0.0406,0.2712
Special scientist ,5th,0.04,0.25
The Bombers,5th,0.12975,0.8015
MHS,5th,2,13.6
MHS,5th,0.455,0.91
MHS,5th,0.105,0.6597
MHS,5th,0.03,0.1884
MHS,5th,0.02,0.13
Freaks,7th,0.002,0.013
Freaks,7th,0.424,0.26
2 a’s ,7th,113,18
Freaks,7th,0.17,1.16
2 a’s,7th,13,2
Freaks,7th,0.13,0.8
Freaks,7th,0.02,0.13
Two AAs,7th,0.18,1.13
Two AAs,7th,0.02,0.13
Two AAs,7th,0.18,0.52
Two AAs,7th,0.125,0.75
7th hour,7th,0.003,0.018
Jude,5th,0.08,0.149
7th hour,7th,0.2725,1.86
7th hour,7th,0.009,0.54
BANK,7th,0.0406,0.2525
7th hour,7th,0.002,0.125
Bank,7th,0.1275,0.812
Bank,7th,0.02125,0.5675
Jude,5th,0.09,0.56
Bank,7th,0.0425,0.5675
DP,7th,2.25,21.25
DP,7th,4.68,57.5
DP,7th,3,25.5
DP,7th,13,83
Plurble,7th,0.09,0.6
Plurble,7th,0.04,0.25
Plurble,7th,0.25,0.8
Plurble,7th,0.43,0.74
Plurble,7th,0.05,0.12
Purble,7th,0.08,0.61
Purble,7th,0.03,0.3
Purble,7th,0.05,0.13
Purble,7th,0.43,2.74
Purble,7th,0.08,0.28